RUTA   ,Fecha,Agencia,PAUTA,DEVOL,VTA,%
RUTA: 01 MIRAFLORES,2025-01-01,MIRAFLORES      ,750,447,303,60
RUTA: 01 MIRAFLORES,2025-01-02,MIRAFLORES      ,900,431,469,48
RUTA: 01 MIRAFLORES,2025-01-03,MIRAFLORES      ,900,414,486,46
RUTA: 01 MIRAFLORES,2025-01-04,MIRAFLORES      ,900,420,480,47
RUTA: 01 MIRAFLORES,2025-01-05,MIRAFLORES      ,910,448,462,49
RUTA: 01 MIRAFLORES,2025-01-06,MIRAFLORES      ,900,470,430,52
RUTA: 01 MIRAFLORES,2025-01-07,MIRAFLORES      ,900,375,525,42
RUTA: 01 MIRAFLORES,2025-01-08,MIRAFLORES      ,900,433,467,48
RUTA: 01 MIRAFLORES,2025-01-09,MIRAFLORES      ,900,471,429,52
RUTA: 01 MIRAFLORES,2025-01-10,MIRAFLORES      ,900,425,475,47
RUTA: 01 MIRAFLORES,2025-01-11,MIRAFLORES      ,900,464,436,52
RUTA: 01 MIRAFLORES,2025-01-12,MIRAFLORES      ,910,475,435,52
RUTA: 01 MIRAFLORES,2025-01-13,MIRAFLORES      ,900,427,473,47
RUTA: 01 MIRAFLORES,2025-01-14,MIRAFLORES      ,900,475,425,53
RUTA: 01 MIRAFLORES,2025-01-15,MIRAFLORES      ,900,402,498,45
RUTA: 01 MIRAFLORES,2025-01-16,MIRAFLORES      ,900,393,507,44
RUTA: 01 MIRAFLORES,2025-01-17,MIRAFLORES      ,900,415,485,46
RUTA: 01 MIRAFLORES,2025-01-18,MIRAFLORES      ,900,429,471,48
RUTA: 01 MIRAFLORES,2025-01-19,MIRAFLORES      ,910,457,453,50
RUTA: 01 MIRAFLORES,2025-01-20,MIRAFLORES      ,900,463,437,51
RUTA: 01 MIRAFLORES,2025-01-21,MIRAFLORES      ,900,438,462,49
RUTA: 01 MIRAFLORES,2025-01-22,MIRAFLORES      ,900,459,441,51
RUTA: 01 MIRAFLORES,2025-01-23,MIRAFLORES      ,900,457,443,51
RUTA: 01 MIRAFLORES,2025-01-24,MIRAFLORES      ,900,426,474,47
RUTA: 01 MIRAFLORES,2025-01-25,MIRAFLORES      ,900,451,449,50
RUTA: 01 MIRAFLORES,2025-01-26,MIRAFLORES      ,910,464,446,51
RUTA: 01 MIRAFLORES,2025-01-27,MIRAFLORES      ,900,370,530,41
RUTA: 01 MIRAFLORES,2025-01-28,MIRAFLORES      ,900,476,424,53
RUTA: 01 MIRAFLORES,2025-01-29,MIRAFLORES      ,900,441,459,49
RUTA: 01 MIRAFLORES,2025-01-30,MIRAFLORES      ,900,430,470,48
RUTA: 01 MIRAFLORES,2025-01-31,MIRAFLORES      ,900,419,481,47
RUTA: 01 MIRAFLORES,2025-01-01,BARRANCO,300,199,101,66
RUTA: 01 MIRAFLORES,2025-01-02,BARRANCO,300,169,131,56
RUTA: 01 MIRAFLORES,2025-01-03,BARRANCO,300,173,127,58
RUTA: 01 MIRAFLORES,2025-01-04,BARRANCO,300,174,126,58
RUTA: 01 MIRAFLORES,2025-01-05,BARRANCO,325,130,195,40
RUTA: 01 MIRAFLORES,2025-01-06,BARRANCO,300,167,133,56
RUTA: 01 MIRAFLORES,2025-01-07,BARRANCO,300,168,132,56
RUTA: 01 MIRAFLORES,2025-01-08,BARRANCO,300,170,130,57
RUTA: 01 MIRAFLORES,2025-01-09,BARRANCO,300,168,132,56
RUTA: 01 MIRAFLORES,2025-01-10,BARRANCO,300,169,131,56
RUTA: 01 MIRAFLORES,2025-01-11,BARRANCO,300,156,144,52
RUTA: 01 MIRAFLORES,2025-01-12,BARRANCO,325,137,188,42
RUTA: 01 MIRAFLORES,2025-01-13,BARRANCO,300,167,133,56
RUTA: 01 MIRAFLORES,2025-01-14,BARRANCO,300,171,129,57
RUTA: 01 MIRAFLORES,2025-01-15,BARRANCO,300,156,144,52
RUTA: 01 MIRAFLORES,2025-01-16,BARRANCO,300,171,129,57
RUTA: 01 MIRAFLORES,2025-01-17,BARRANCO,300,160,140,53
RUTA: 01 MIRAFLORES,2025-01-18,BARRANCO,300,165,135,55
RUTA: 01 MIRAFLORES,2025-01-19,BARRANCO,325,133,192,41
RUTA: 01 MIRAFLORES,2025-01-20,BARRANCO,300,174,126,58
RUTA: 01 MIRAFLORES,2025-01-21,BARRANCO,300,163,137,54
RUTA: 01 MIRAFLORES,2025-01-22,BARRANCO,300,161,139,54
RUTA: 01 MIRAFLORES,2025-01-23,BARRANCO,300,164,136,55
RUTA: 01 MIRAFLORES,2025-01-24,BARRANCO,300,147,153,49
RUTA: 01 MIRAFLORES,2025-01-25,BARRANCO,300,148,152,49
RUTA: 01 MIRAFLORES,2025-01-26,BARRANCO,325,138,187,42
RUTA: 01 MIRAFLORES,2025-01-27,BARRANCO,300,153,147,51
RUTA: 01 MIRAFLORES,2025-01-28,BARRANCO,300,161,139,54
RUTA: 01 MIRAFLORES,2025-01-29,BARRANCO,300,163,137,54
RUTA: 01 MIRAFLORES,2025-01-30,BARRANCO,300,155,145,52
RUTA: 01 MIRAFLORES,2025-01-31,BARRANCO,300,166,134,55
RUTA: 01 MIRAFLORES,2025-01-01,CHORRILLOS,260,188,72,72
RUTA: 01 MIRAFLORES,2025-01-02,CHORRILLOS,300,181,119,60
RUTA: 01 MIRAFLORES,2025-01-03,CHORRILLOS,300,196,104,65
RUTA: 01 MIRAFLORES,2025-01-04,CHORRILLOS,300,188,112,63
RUTA: 01 MIRAFLORES,2025-01-05,CHORRILLOS,300,173,127,58
RUTA: 01 MIRAFLORES,2025-01-06,CHORRILLOS,300,187,113,62
RUTA: 01 MIRAFLORES,2025-01-07,CHORRILLOS,300,192,108,64
RUTA: 01 MIRAFLORES,2025-01-08,CHORRILLOS,300,194,106,65
RUTA: 01 MIRAFLORES,2025-01-09,CHORRILLOS,300,198,102,66
RUTA: 01 MIRAFLORES,2025-01-10,CHORRILLOS,300,196,104,65
RUTA: 01 MIRAFLORES,2025-01-11,CHORRILLOS,300,182,118,61
RUTA: 01 MIRAFLORES,2025-01-12,CHORRILLOS,300,176,124,59
RUTA: 01 MIRAFLORES,2025-01-13,CHORRILLOS,300,192,108,64
RUTA: 01 MIRAFLORES,2025-01-14,CHORRILLOS,300,193,107,64
RUTA: 01 MIRAFLORES,2025-01-15,CHORRILLOS,300,187,113,62
RUTA: 01 MIRAFLORES,2025-01-16,CHORRILLOS,300,184,116,61
RUTA: 01 MIRAFLORES,2025-01-17,CHORRILLOS,300,199,101,66
RUTA: 01 MIRAFLORES,2025-01-18,CHORRILLOS,300,174,126,58
RUTA: 01 MIRAFLORES,2025-01-19,CHORRILLOS,300,169,131,56
RUTA: 01 MIRAFLORES,2025-01-20,CHORRILLOS,300,184,116,61
RUTA: 01 MIRAFLORES,2025-01-21,CHORRILLOS,300,196,104,65
RUTA: 01 MIRAFLORES,2025-01-22,CHORRILLOS,300,197,103,66
RUTA: 01 MIRAFLORES,2025-01-23,CHORRILLOS,300,197,103,66
RUTA: 01 MIRAFLORES,2025-01-24,CHORRILLOS,300,163,137,54
RUTA: 01 MIRAFLORES,2025-01-25,CHORRILLOS,300,197,103,66
RUTA: 01 MIRAFLORES,2025-01-26,CHORRILLOS,300,174,126,58
RUTA: 01 MIRAFLORES,2025-01-27,CHORRILLOS,300,198,102,66
RUTA: 01 MIRAFLORES,2025-01-28,CHORRILLOS,300,197,103,66
RUTA: 01 MIRAFLORES,2025-01-29,CHORRILLOS,300,183,117,61
RUTA: 01 MIRAFLORES,2025-01-30,CHORRILLOS,300,204,96,68
RUTA: 01 MIRAFLORES,2025-01-31,CHORRILLOS,300,183,117,61
RUTA: 01 MIRAFLORES,2025-01-01,PORVENIR,220,197,23,90
RUTA: 01 MIRAFLORES,2025-01-02,PORVENIR,320,174,146,54
RUTA: 01 MIRAFLORES,2025-01-03,PORVENIR,320,189,131,59
RUTA: 01 MIRAFLORES,2025-01-04,PORVENIR,320,170,150,53
RUTA: 01 MIRAFLORES,2025-01-05,PORVENIR,300,115,185,38
RUTA: 01 MIRAFLORES,2025-01-06,PORVENIR,320,193,127,60
RUTA: 01 MIRAFLORES,2025-01-07,PORVENIR,320,187,133,58
RUTA: 01 MIRAFLORES,2025-01-08,PORVENIR,320,183,137,57
RUTA: 01 MIRAFLORES,2025-01-09,PORVENIR,320,188,132,59
RUTA: 01 MIRAFLORES,2025-01-10,PORVENIR,320,165,155,52
RUTA: 01 MIRAFLORES,2025-01-11,PORVENIR,320,181,139,57
RUTA: 01 MIRAFLORES,2025-01-12,PORVENIR,300,168,132,56
RUTA: 01 MIRAFLORES,2025-01-13,PORVENIR,320,177,143,55
RUTA: 01 MIRAFLORES,2025-01-14,PORVENIR,320,183,137,57
RUTA: 01 MIRAFLORES,2025-01-15,PORVENIR,320,186,134,58
RUTA: 01 MIRAFLORES,2025-01-16,PORVENIR,320,191,129,60
RUTA: 01 MIRAFLORES,2025-01-17,PORVENIR,320,181,139,57
RUTA: 01 MIRAFLORES,2025-01-18,PORVENIR,320,193,127,60
RUTA: 01 MIRAFLORES,2025-01-19,PORVENIR,300,180,120,60
RUTA: 01 MIRAFLORES,2025-01-20,PORVENIR,320,176,144,55
RUTA: 01 MIRAFLORES,2025-01-21,PORVENIR,320,175,145,55
RUTA: 01 MIRAFLORES,2025-01-22,PORVENIR,320,191,129,60
RUTA: 01 MIRAFLORES,2025-01-23,PORVENIR,320,204,116,64
RUTA: 01 MIRAFLORES,2025-01-24,PORVENIR,320,171,149,53
RUTA: 01 MIRAFLORES,2025-01-25,PORVENIR,320,181,139,57
RUTA: 01 MIRAFLORES,2025-01-26,PORVENIR,300,165,135,55
RUTA: 01 MIRAFLORES,2025-01-27,PORVENIR,320,194,126,61
RUTA: 01 MIRAFLORES,2025-01-28,PORVENIR,320,167,153,52
RUTA: 01 MIRAFLORES,2025-01-29,PORVENIR,320,190,130,59
RUTA: 01 MIRAFLORES,2025-01-30,PORVENIR,320,186,134,58
RUTA: 01 MIRAFLORES,2025-01-31,PORVENIR,320,177,143,55
RUTA: 01 MIRAFLORES,2025-01-01,SAN-ISIDRO,190,117,73,62
RUTA: 01 MIRAFLORES,2025-01-02,SAN-ISIDRO,210,114,96,54
RUTA: 01 MIRAFLORES,2025-01-03,SAN-ISIDRO,210,103,107,49
RUTA: 01 MIRAFLORES,2025-01-04,SAN-ISIDRO,210,134,76,64
RUTA: 01 MIRAFLORES,2025-01-05,SAN-ISIDRO,200,112,88,56
RUTA: 01 MIRAFLORES,2025-01-06,SAN-ISIDRO,210,112,98,53
RUTA: 01 MIRAFLORES,2025-01-07,SAN-ISIDRO,210,129,81,61
RUTA: 01 MIRAFLORES,2025-01-08,SAN-ISIDRO,210,115,95,55
RUTA: 01 MIRAFLORES,2025-01-09,SAN-ISIDRO,210,126,84,60
RUTA: 01 MIRAFLORES,2025-01-10,SAN-ISIDRO,210,110,100,52
RUTA: 01 MIRAFLORES,2025-01-11,SAN-ISIDRO,210,142,68,68
RUTA: 01 MIRAFLORES,2025-01-12,SAN-ISIDRO,200,129,71,65
RUTA: 01 MIRAFLORES,2025-01-13,SAN-ISIDRO,210,83,127,40
RUTA: 01 MIRAFLORES,2025-01-14,SAN-ISIDRO,210,126,84,60
RUTA: 01 MIRAFLORES,2025-01-15,SAN-ISIDRO,210,128,82,61
RUTA: 01 MIRAFLORES,2025-01-16,SAN-ISIDRO,210,143,67,68
RUTA: 01 MIRAFLORES,2025-01-17,SAN-ISIDRO,210,120,90,57
RUTA: 01 MIRAFLORES,2025-01-18,SAN-ISIDRO,210,137,73,65
RUTA: 01 MIRAFLORES,2025-01-19,SAN-ISIDRO,200,131,69,66
RUTA: 01 MIRAFLORES,2025-01-20,SAN-ISIDRO,210,119,91,57
RUTA: 01 MIRAFLORES,2025-01-21,SAN-ISIDRO,210,113,97,54
RUTA: 01 MIRAFLORES,2025-01-22,SAN-ISIDRO,210,113,97,54
RUTA: 01 MIRAFLORES,2025-01-23,SAN-ISIDRO,210,122,88,58
RUTA: 01 MIRAFLORES,2025-01-24,SAN-ISIDRO,210,114,96,54
RUTA: 01 MIRAFLORES,2025-01-25,SAN-ISIDRO,210,142,68,68
RUTA: 01 MIRAFLORES,2025-01-26,SAN-ISIDRO,200,137,63,69
RUTA: 01 MIRAFLORES,2025-01-27,SAN-ISIDRO,210,81,129,39
